81-118	0.33
13-52	0.02
3-47	0.31
9-97	0.04
104-123	0.01
2-34	0.18
76-84	0.08
3-36	0.23
76-112	0.28
69-93	0.31
3-33	0.27
2-96	0.12
16-79	0.25
16-134	0.17
31-81	2.31
19-125	3.2
2-64	0.19
33-123	0.22
2-146	0.36
16-27	0.56
51-76	0.39
10-85	0.23
76-138	0.42
29-69	0.15
23-81	0.55
76-104	0.05
13-61	0.01
85-132	0.06
81-84	0.25
2-108	0.02
69-85	0.05
25-43	0.03
17-84	0.07
13-78	0.0
17-93	0.04
23-25	0.07
3-93	0.05
17-54	0.02
13-66	0.0
70-84	1.08
15-32	0.52
69-86	0.47
16-85	0.65
54-84	0.28
3-51	0.23
15-70	0.99
9-30	0.41
4-81	0.13
10-104	0.04
54-132	0.82
25-53	0.42
3-140	0.59
13-141	0.03
10-107	0.4
21-69	0.86
2-52	0.18
85-95	0.21
13-56	0.01
43-132	0.17
46-76	0.19
47-81	0.12
17-140	0.16
16-63	0.25
34-132	0.52
104-132	0.06
25-120	0.04
25-32	0.03
97-107	0.06
25-86	0.04
15-104	0.05
70-76	0.07
97-104	0.04
25-51	0.03
54-69	0.08
54-97	0.06
25-38	0.03
3-119	0.06
2-5	0.03
3-118	0.05
40-123	0.61
33-76	0.13
76-140	0.18
17-113	0.08
76-113	0.11
36-84	0.13
132-138	0.1
3-145	0.4
93-97	0.62
3-20	0.53
9-28	0.27
16-83	0.07
2-44	0.03
17-79	0.23
79-81	0.11
69-119	0.08
69-83	0.39
9-31	0.08
22-25	0.03
16-31	0.07
84-85	0.11
36-123	0.08
95-123	0.06
27-123	0.24
13-158	0.02
3-138	0.18
17-20	0.27
15-43	0.34
16-54	0.06
93-123	0.05
25-139	0.03
30-69	0.34
81-112	1.73
84-97	0.06
83-85	0.09
16-70	0.05
13-64	0.01
10-15	0.55
13-102	0.06
17-145	0.32
83-118	0.06
13-105	0.03
83-97	0.08
13-124	0.01
76-134	0.07
81-99	0.26
25-46	0.05
9-70	0.12
54-83	0.14
70-123	0.25
30-76	0.06
31-70	0.34
85-118	0.2
28-69	0.23
15-63	0.16
36-104	0.12
81-155	0.22
112-123	0.08
76-155	0.26
32-69	0.12
9-140	0.11
123-138	0.15
21-81	0.05
93-132	0.06
25-119	0.02
2-145	0.03
69-98	0.61
2-115	0.15
2-121	0.1
123-159	0.16
7-13	0.0
2-55	0.03
2-67	0.03
9-84	0.06
25-63	0.05
69-104	0.02
83-86	0.16
40-76	0.18
13-91	0.0
4-25	0.02
63-69	0.27
29-83	0.23
32-83	0.16
28-83	0.17
6-132	0.1
3-60	0.07
17-31	0.11
104-107	0.18
31-69	0.33
36-81	0.27
32-132	0.32
46-132	0.1
22-132	0.05
3-98	0.04
3-21	0.05
25-148	0.04
34-76	0.46
76-139	0.16
132-139	0.61
3-40	0.04
107-118	0.22
16-36	0.3
70-83	0.11
25-30	0.02
85-97	0.04
31-76	0.06
83-84	0.08
76-93	0.05
17-112	0.03
85-104	0.04
2-154	0.04
9-139	0.16
15-140	0.06
15-139	0.06
41-132	0.17
30-107	0.08
15-159	0.06
15-118	0.29
17-21	0.13
44-81	0.12
9-32	0.26
17-99	0.32
22-97	0.23
16-145	0.1
2-39	0.02
17-43	0.03
132-145	0.05
104-155	0.37
107-155	0.08
15-155	0.05
41-123	0.57
33-69	0.69
25-67	0.05
54-85	0.12
25-40	0.03
25-47	0.03
2-99	0.11
31-112	0.31
23-85	0.07
13-121	0.01
97-140	0.08
69-99	0.06
97-138	0.05
3-39	0.07
54-155	0.08
5-81	0.07
29-54	0.08
104-145	0.04
98-132	0.29
3-41	0.22
16-35	0.07
76-83	0.06
69-95	0.05
3-22	0.05
85-119	0.05
9-122	0.1
136-147	2.04
25-105	0.11
28-107	0.13
67-123	0.13
31-54	0.43
123-134	0.1
9-118	0.12
84-104	0.03
3-29	0.05
2-49	0.02
13-82	0.0
2-78	0.02
33-97	0.13
70-97	0.08
10-123	0.06
3-86	0.07
86-132	0.1
36-83	0.06
25-39	0.03
76-145	0.06
30-132	0.1
25-61	0.03
123-140	0.26
104-118	0.11
22-69	0.19
25-36	0.02
107-132	0.04
2-66	0.03
68-136	0.85
9-138	0.23
9-38	0.05
46-97	0.07
108-123	0.07
30-81	0.06
13-109	0.01
84-119	0.1
16-22	0.15
16-86	0.21
23-97	0.18
81-104	0.17
54-76	0.34
3-46	0.1
118-132	0.06
84-145	0.06
43-85	0.07
9-108	0.17
84-107	1.04
23-76	0.77
69-155	0.46
17-34	0.35
86-97	0.28
76-159	0.29
20-132	0.21
38-132	0.08
15-51	0.04
13-60	0.0
2-61	0.03
9-112	0.08
3-30	0.04
25-108	0.03
33-104	0.08
25-157	0.06
70-93	0.14
35-81	0.18
81-138	0.2
59-136	0.41
9-33	0.14
6-81	0.21
6-15	0.06
93-112	0.08
97-112	0.07
3-63	0.07
31-107	0.08
15-31	0.89
15-36	0.83
95-107	0.48
10-84	0.31
25-26	0.03
79-97	0.06
4-123	0.05
47-123	0.05
13-116	0.0
84-112	0.05
16-28	0.15
15-86	0.19
2-14	0.07
38-123	0.14
81-140	0.38
4-76	0.19
17-138	0.13
13-80	0.07
99-123	0.09
83-93	0.12
13-152	0.01
9-36	0.15
3-120	0.14
17-32	0.04
17-22	0.04
10-97	0.04
2-45	0.15
3-43	0.2
9-10	0.08
3-35	0.06
34-81	0.4
70-112	0.18
84-95	0.06
30-123	0.37
34-83	0.54
51-84	0.26
21-97	0.24
35-132	0.64
23-107	0.23
97-98	0.1
76-99	0.3
9-99	0.05
2-35	0.02
85-123	0.06
3-31	0.05
69-97	0.06
31-134	0.21
98-107	0.14
84-134	0.05
81-117	0.54
9-40	0.23
84-122	0.23
69-79	0.06
10-17	0.02
51-107	0.7
3-79	0.04
25-140	0.03
25-34	0.03
17-51	0.04
17-46	0.1
83-134	0.14
27-107	0.66
120-132	0.21
69-145	0.07
4-15	0.39
21-70	1.11
9-159	0.05
15-113	0.08
113-123	0.25
54-112	0.76
74-136	0.48
9-47	0.2
31-119	0.09
16-120	0.07
53-123	0.08
87-125	2.56
16-108	0.24
25-114	0.22
93-134	0.2
41-107	0.38
17-159	0.46
2-114	0.1
75-125	0.65
12-125	2.93
2-42	0.14
4-54	0.28
97-108	0.21
3-122	0.05
17-95	0.08
36-76	0.2
70-104	0.03
11-125	1.27
31-118	0.09
43-107	0.08
13-133	0.01
9-34	0.24
16-138	0.28
67-132	0.2
38-69	0.21
69-117	0.25
4-85	0.26
21-107	0.15
17-40	0.08
9-35	0.12
107-145	0.09
67-81	0.06
35-97	0.06
70-95	0.06
85-122	0.08
28-54	0.33
21-123	0.08
10-54	0.14
29-123	0.08
40-107	0.89
78-123	0.25
61-123	0.23
20-104	0.14
29-70	0.36
26-123	0.26
31-155	0.43
3-134	0.05
25-41	0.03
16-46	0.04
9-22	0.06
25-66	0.03
15-21	0.05
3-108	0.1
15-28	0.16
51-81	0.18
17-38	0.1
6-123	0.16
13-156	0.01
40-81	0.15
2-152	0.05
83-145	0.15
55-76	0.09
69-120	0.1
76-85	0.08
84-132	0.25
16-84	0.07
54-63	0.34
15-108	0.2
38-104	0.33
85-134	0.2
9-120	0.33
16-99	0.16
