128-128	32.680	0.000	0.380	0.0	100.00	100.00	0.000	1
13-41	1.790	0.000	0.040	0.0	100.00	100.00	0.000	1
17-132	4.650	0.000	0.030	0.0	100.00	100.00	0.000	1
3-83	4.860	0.000	0.050	0.0	100.00	100.00	0.000	1
25-31	3.900	0.000	0.090	0.0	100.00	100.00	0.000	1
151-151	30.770	0.000	2.970	0.0	100.00	100.00	0.000	1
13-55	1.950	0.000	0.050	0.0	100.00	100.00	0.000	1
17-9	3.180	0.000	0.090	0.0	100.00	100.00	0.000	1
3-107	4.590	0.000	0.020	0.0	100.00	100.00	0.000	1
76-132	4.910	0.000	0.050	0.0	100.00	100.00	0.000	1
2-79	6.450	0.000	0.110	0.0	100.00	100.00	0.000	1
74-74	34.300	0.000	0.430	0.0	100.00	100.00	0.000	1
13-67	1.670	0.000	0.030	0.0	100.00	100.00	0.000	1
2-155	3.590	0.000	0.120	0.0	100.00	100.00	0.000	1
48-48	33.390	0.000	1.610	0.0	100.00	100.00	0.000	1
3-104	3.710	0.000	0.050	0.0	100.00	100.00	0.000	1
2-98	3.240	0.000	0.040	0.0	100.00	100.00	0.000	1
123-81	7.740	0.000	0.040	0.0	100.00	100.00	0.000	1
2-95	7.100	0.000	0.060	0.0	100.00	100.00	0.000	1
81-132	5.350	0.000	0.050	0.0	100.00	100.00	0.000	1
2-23	3.900	0.000	0.090	0.0	100.00	100.00	0.000	1
68-68	35.620	0.000	0.380	0.0	100.00	100.00	0.000	1
2-21	3.570	0.000	0.040	0.0	100.00	100.00	0.000	1
17-16	3.760	0.000	0.040	0.0	100.00	100.00	0.000	1
2-29	3.670	0.000	0.050	0.0	100.00	100.00	0.000	1
17-15	3.880	0.000	0.050	0.0	100.00	100.00	0.000	1
76-9	4.600	0.000	0.040	0.0	100.00	100.00	0.000	1
37-37	36.460	0.000	0.810	0.0	100.00	100.00	0.000	1
2-32	4.020	0.000	0.060	0.0	100.00	100.00	0.000	1
2-22	4.110	0.000	0.070	0.0	100.00	100.00	0.000	1
13-53	1.520	0.000	0.030	0.0	100.00	100.00	0.000	1
123-9	7.030	0.000	0.070	0.0	100.00	100.00	0.000	1
3-85	4.340	0.000	0.060	0.0	100.00	100.00	0.000	1
8-8	37.460	0.000	0.610	0.0	100.00	100.00	0.000	1
76-81	8.420	0.000	0.050	0.0	100.00	100.00	0.000	1
2-86	3.720	0.000	0.040	0.0	100.00	100.00	0.000	1
17-69	3.340	0.000	0.070	0.0	100.00	100.00	0.000	1
132-9	5.340	0.000	0.070	0.0	100.00	100.00	0.000	1
81-9	5.300	0.000	0.070	0.0	100.00	100.00	0.000	1
123-69	6.210	0.000	0.040	0.0	100.00	100.00	0.000	1
25-93	5.390	0.000	0.050	0.0	100.00	100.00	0.000	1
19-19	37.990	0.000	0.910	0.0	100.00	100.00	0.000	1
106-106	38.450	0.000	0.410	0.0	100.00	100.00	0.000	1
2-122	3.790	0.000	0.070	0.0	100.00	100.00	0.000	1
25-112	3.660	0.000	0.040	0.0	100.00	100.00	0.000	1
17-97	3.240	0.000	0.020	0.0	100.00	100.00	0.000	1
132-16	4.850	0.000	0.030	0.0	100.00	100.00	0.000	1
123-97	5.080	0.000	0.090	0.0	100.00	100.00	0.000	1
142-142	39.110	0.000	0.540	0.0	100.00	100.00	0.000	1
76-15	5.630	0.000	0.070	0.0	100.00	100.00	0.000	1
132-15	5.080	0.000	0.040	0.0	100.00	100.00	0.000	1
62-62	39.230	0.000	0.350	0.0	100.00	100.00	0.000	1
76-16	6.040	0.000	0.070	0.0	100.00	100.00	0.000	1
2-134	10.040	0.000	0.050	0.0	100.00	100.00	0.000	1
25-119	3.570	0.000	0.100	0.0	100.00	100.00	0.000	1
3-84	6.020	0.000	0.040	0.0	100.00	100.00	0.000	1
76-69	5.090	0.000	0.030	0.0	100.00	100.00	0.000	1
24-24	40.170	0.000	0.510	0.0	100.00	100.00	0.000	1
150-150	40.260	0.000	0.300	0.0	100.00	100.00	0.000	1
3-54	4.090	0.000	0.080	0.0	100.00	100.00	0.000	1
17-83	3.450	0.000	0.070	0.0	100.00	100.00	0.000	1
25-118	3.320	0.000	0.030	0.0	100.00	100.00	0.000	1
13-45	1.510	0.000	0.070	0.0	100.00	100.00	0.000	1
2-43	3.280	0.000	0.070	0.0	100.00	100.00	0.000	1
2-4	3.180	0.000	0.050	0.0	100.00	100.00	0.000	1
2-145	4.450	0.000	0.040	0.0	100.00	100.00	0.000	1
81-15	6.710	0.000	0.070	0.0	100.00	100.00	0.000	1
2-30	4.940	0.000	0.060	0.0	100.00	100.00	0.000	1
25-10	2.770	0.000	0.060	0.0	100.00	100.00	0.000	1
76-97	5.440	0.000	0.040	0.0	100.00	100.00	0.000	1
2-46	3.040	0.000	0.040	0.0	100.00	100.00	0.000	1
2-47	3.300	0.000	0.070	0.0	100.00	100.00	0.000	1
2-63	6.350	0.000	0.100	0.0	100.00	100.00	0.000	1
13-60	1.470	0.000	0.030	0.0	100.00	100.00	0.000	1
9-16	4.490	0.000	0.070	0.0	100.00	100.00	0.000	1
132-97	5.100	0.000	0.100	0.0	100.00	100.00	0.000	1
132-69	7.170	0.000	0.080	0.0	100.00	100.00	0.000	1
123-16	11.860	0.000	0.060	0.0	100.00	100.00	0.000	1
123-15	11.710	0.000	0.060	0.0	100.00	100.00	0.000	1
2-28	9.860	0.000	0.050	0.0	100.00	100.00	0.000	1
123-107	6.270	0.000	0.110	0.0	100.00	100.00	0.000	1
132-83	4.940	0.000	0.060	0.0	100.00	100.00	0.000	1
9-69	5.360	0.000	0.100	0.0	100.00	100.00	0.000	1
25-36	4.200	0.000	0.040	0.0	100.00	100.00	0.000	1
13-148	1.340	0.000	0.010	0.0	100.00	100.00	0.000	1
123-83	7.850	0.000	0.050	0.0	100.00	100.00	0.000	1
2-51	5.450	0.000	0.050	0.0	100.00	100.00	0.000	1
2-140	3.480	0.000	0.040	0.0	100.00	100.00	0.000	1
76-107	4.680	0.000	0.070	0.0	100.00	100.00	0.000	1
76-83	6.020	0.000	0.100	0.0	100.00	100.00	0.000	1
81-69	8.850	0.000	0.020	0.0	100.00	100.00	0.000	1
59-59	43.520	0.000	1.050	0.0	100.00	100.00	0.000	1
2-35	3.340	0.000	0.030	0.0	100.00	100.00	0.000	1
131-131	43.270	0.000	1.350	0.0	100.00	100.00	0.000	1
25-79	3.450	0.000	0.030	0.0	100.00	100.00	0.000	1
2-139	3.440	0.000	0.020	0.0	100.00	100.00	0.000	1
2-34	3.170	0.000	0.070	0.0	100.00	100.00	0.000	1
132-107	5.050	0.000	0.050	0.0	100.00	100.00	0.000	1
2-138	3.040	0.000	0.040	0.0	100.00	100.00	0.000	1
17-104	5.400	0.000	0.090	0.0	100.00	100.00	0.000	1
3-70	5.340	0.000	0.050	0.0	100.00	100.00	0.000	1
81-83	6.210	0.000	0.060	0.0	100.00	100.00	0.000	1
9-97	4.470	0.000	0.080	0.0	100.00	100.00	0.000	1
92-92	44.780	0.000	0.620	0.0	100.00	100.00	0.000	1
81-107	4.890	0.000	0.210	0.0	100.00	100.00	0.000	1
104-123	3.880	0.000	0.040	0.0	100.00	100.00	0.000	1
13-26	2.360	0.000	0.040	0.0	100.00	100.00	0.000	1
2-120	3.370	0.000	0.030	0.0	100.00	100.00	0.000	1
2-113	3.990	0.000	0.030	0.0	100.00	100.00	0.000	1
15-69	5.370	0.000	0.080	0.0	100.00	100.00	0.000	1
129-129	45.160	0.000	0.870	0.0	100.00	100.00	0.000	1
2-99	2.960	0.000	0.100	0.0	100.00	100.00	0.000	1
81-97	8.430	0.000	0.100	0.0	100.00	100.00	0.000	1
13-61	1.190	0.000	0.040	0.0	100.00	100.00	0.000	1
25-27	3.780	0.000	0.070	0.0	100.00	100.00	0.000	1
9-15	8.360	0.000	0.050	0.0	100.00	100.00	0.000	1
2-20	3.440	0.000	0.040	0.0	100.00	100.00	0.000	1
13-105	1.090	0.000	0.060	0.0	100.00	100.00	0.000	1
13-78	2.560	0.000	0.030	0.0	100.00	100.00	0.000	1
16-97	4.590	0.000	0.060	0.0	100.00	100.00	0.000	1
123-84	5.010	0.000	0.060	0.0	100.00	100.00	0.000	1
17-85	3.520	0.000	0.040	0.0	100.00	100.00	0.000	1
13-49	1.190	0.000	0.060	0.0	100.00	100.00	0.000	1
17-84	3.200	0.000	0.040	0.0	100.00	100.00	0.000	1
2-6	3.150	0.000	0.050	0.0	100.00	100.00	0.000	1
3-31	4.410	0.000	0.060	0.0	100.00	100.00	0.000	1
13-39	1.320	0.000	0.050	0.0	100.00	100.00	0.000	1
16-15	7.870	0.000	0.100	0.0	100.00	100.00	0.000	1
2-33	8.050	0.000	0.020	0.0	100.00	100.00	0.000	1
2-117	2.790	0.000	0.040	0.0	100.00	100.00	0.000	1
2-38	3.980	0.000	0.030	0.0	100.00	100.00	0.000	1
104-132	3.120	0.000	0.020	0.0	100.00	100.00	0.000	1
123-85	6.680	0.000	0.060	0.0	100.00	100.00	0.000	1
13-137	1.330	0.000	0.030	0.0	100.00	100.00	0.000	1
16-69	8.040	0.000	0.090	0.0	100.00	100.00	0.000	1
17-107	10.200	0.000	0.040	0.0	100.00	100.00	0.000	1
2-44	3.670	0.000	0.040	0.0	100.00	100.00	0.000	1
160-160	47.750	0.000	1.100	0.0	100.00	100.00	0.000	1
9-83	6.060	0.000	0.060	0.0	100.00	100.00	0.000	1
9-107	4.550	0.000	0.090	0.0	100.00	100.00	0.000	1
13-124	1.150	0.000	0.030	0.0	100.00	100.00	0.000	1
97-69	5.240	0.000	0.110	0.0	100.00	100.00	0.000	1
2-159	5.570	0.000	0.060	0.0	100.00	100.00	0.000	1
132-85	4.400	0.000	0.090	0.0	100.00	100.00	0.000	1
104-76	5.460	0.000	0.080	0.0	100.00	100.00	0.000	1
76-85	5.110	0.000	0.080	0.0	100.00	100.00	0.000	1
13-66	2.640	0.000	0.040	0.0	100.00	100.00	0.000	1
25-98	3.280	0.000	0.080	0.0	100.00	100.00	0.000	1
132-84	4.680	0.000	0.100	0.0	100.00	100.00	0.000	1
25-155	4.220	0.000	0.060	0.0	100.00	100.00	0.000	1
16-107	4.940	0.000	0.170	0.0	100.00	100.00	0.000	1
81-16	15.670	0.000	0.040	0.0	100.00	100.00	0.000	1
15-107	5.050	0.000	0.070	0.0	100.00	100.00	0.000	1
15-97	7.880	0.000	0.110	0.0	100.00	100.00	0.000	1
83-69	5.130	0.000	0.140	0.0	100.00	100.00	0.000	1
3-93	4.370	0.000	0.190	0.0	100.00	100.00	0.000	1
76-84	5.920	0.000	0.100	0.0	100.00	100.00	0.000	1
17-54	3.730	0.000	0.030	0.0	100.00	100.00	0.000	1
25-32	3.590	0.000	0.090	0.0	100.00	100.00	0.000	1
25-21	3.770	0.000	0.060	0.0	100.00	100.00	0.000	1
13-157	1.510	0.000	0.020	0.0	100.00	100.00	0.000	1
25-22	3.750	0.000	0.040	0.0	100.00	100.00	0.000	1
123-54	5.870	0.000	0.040	0.0	100.00	100.00	0.000	1
104-81	6.330	0.000	0.050	0.0	100.00	100.00	0.000	1
25-28	3.860	0.000	0.070	0.0	100.00	100.00	0.000	1
81-85	6.380	0.000	0.070	0.0	100.00	100.00	0.000	1
104-9	4.210	0.000	0.080	0.0	100.00	100.00	0.000	1
13-146	2.000	0.000	0.050	0.0	100.00	100.00	0.000	1
2-41	4.740	0.000	0.060	0.0	100.00	100.00	0.000	1
25-23	5.550	0.000	0.040	0.0	100.00	100.00	0.000	1
25-95	10.130	0.000	0.100	0.0	100.00	100.00	0.000	1
2-55	3.720	0.000	0.030	0.0	100.00	100.00	0.000	1
76-54	5.230	0.000	0.090	0.0	100.00	100.00	0.000	1
25-122	3.670	0.000	0.080	0.0	100.00	100.00	0.000	1
9-85	4.870	0.000	0.060	0.0	100.00	100.00	0.000	1
81-54	4.780	0.000	0.120	0.0	100.00	100.00	0.000	1
69-107	6.890	0.000	0.100	0.0	100.00	100.00	0.000	1
25-86	4.730	0.000	0.030	0.0	100.00	100.00	0.000	1
9-84	4.880	0.000	0.060	0.0	100.00	100.00	0.000	1
